article_id,comment_counter,title,globe_url,url,comment_text,is_constructive,is_constructive:confidence,toxicity_level,toxicity_level:confidence,did_you_read_the_article,did_you_read_the_article:confidence,annotator_comments,expert_is_constructive,expert_toxicity_level,expert_comments
23462276,source1_23462276_4,Apple Watch: It's the precise opposite of a labour-saving device,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,"While technology does march on, sometimes it takes a few backwards steps towards true progress. Case in point are the ipads and tablets which I see as little more than toys for the easily distracted. While tablets are today's rage that have led to the nosediving of the laptop, anyone who has used these new devices knows all to well their limitations. Trying to compose an email on a ipad is like communicating in morse code or sending a telegram circa 1913. The same goes for the smartwatch which does not even have GPS, which every cheap digital camera has, big mistake. But what do I know, I'm a geezer and still tell the time by a watch with a face.",yes,1,1,1,1,1,"




















",,,
23462276,source1_23462276_10,Apple Watch: It's the precise opposite of a labour-saving device,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,"Everyone is still missing the point of what the Apple Watch is:It's fashion. It is by definition of no utility. Watches have been more fashion than function for as long as they've been worn. Anyone remember paying $50 for a Swatch that cost $2 to make? The Apple Watch actually offers quite a bit of utility as far as wrist adornments go, but it is first and foremost something to look good. It was never meant to replace an iPhone so people need to stop evaluating it on that basis. As for rapid, pervasive obsolescence of your latest gadget, it's an unfortunate side-effect of Moore's Law. You don't have to buy the latest and greatest if you don't want to, but a lot of people want to.I will likely end up with an Apple Watch for the following ironic reason: I haven't worn a watch in years because I have had a phone in my pocket that already does the one thing a watch does: tell time. Now, with an Apple Watch, I'll get the convenience of telling the time without having to get a hand free to get my phone out of my pocket and still have a device that gives me access to much of the stuff I turn to my iPhone for already. It really does make sense if you put it in the right perspective.",yes,1,"1
2","0.9111
0.0889",1,1,"









",,,
23462276,source1_23462276_11_1,Apple Watch: It's the precise opposite of a labour-saving device,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,You've never used an Apple product have you?,no,1,"1
2","0.6308
0.2937",1,1,"












",,,
23462276,source1_23462276_25,Apple Watch: It's the precise opposite of a labour-saving device,http://www.theglobeandmail.com/opinion/as-technology-marches-inexorably-oninvention-becomes-the-mother-of-necessity/article23462276/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/watch.html,You may be using a blackberry. I'm still using a gooseberry.,no,1,"1
2","0.7346
0.2023",1,1,"













",,,
26373964,source1_26373964_63,Don't be fooled by the (surprise!) budget surplus,http://www.theglobeandmail.com/opinion/dont-be-fooled-by-the-surprise-budget-surplus/article26373964/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/budget.html,"Of course we all know, unfortunately, there is a segment of the voting public that worships the ground Harper slithers on. That's who this 'surplus' is aimed at. These numbers have been baked, cooked, fudged, pinched and squeezed to get the result that Dear Leader wanted. Anybody with any working brain cells understands that.",no,0.5963,"2
1","0.4429
0.3066",1,1,"





",,,
26373964,source1_26373964_152,Don't be fooled by the (surprise!) budget surplus,http://www.theglobeandmail.com/opinion/dont-be-fooled-by-the-surprise-budget-surplus/article26373964/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/budget.html,"Simpson claims the budget surplus isn't a surprise to him, yet in early August he wrote that the Conservative claim to a balanced budget had 'fallen apart'. The anti-Conservative partisan Simpson is simply not credible and this article is cartoonish. The Globe should retire old Simpson and replace him with someone more credible.",yes,0.8805,"1
2","0.5102
0.2344",1,1,"






",,,
20144737,source1_20144737_7_0_0,Enough is enough: Time to address epidemic of violence against native women,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,We have multiple generations where aboriginal children were removed from their families and institutionalized. The youngest of this generation are in their 40's. We have institutionalized the welfare state on these northern reserves and there is no quick fix solution. There is now an ingrained distrust of governments and their institutions. The best solution will be education and again that will take generations before we see the full effect of that effort.,yes,1,"1
2","0.8317
0.1155",1,1,"
This is a topic I have researced and studied intensively















",yes,1,
20144737,source1_20144737_7,Enough is enough: Time to address epidemic of violence against native women,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,"A good start to stop Violence against women and children is to address the alcohol and drug addiction on the remote reserves, which drive children to the cities.",yes,0.6179,"1
2","0.7799
0.1531",1,1,"











",no,2,"I don't see any solutions being offered here, nor evidence presented to support this statement of why children are driven to the cities."
20144737,source1_20144737_8,Enough is enough: Time to address epidemic of violence against native women,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,"All of this energy should be directed at the parents of aboriginal women. These young children have no positive role models, the family structure does not exist to help children grow into thriving citizens in society. The state can not fill all of that void.",yes,0.7861,"1
2","0.7758
0.2242",1,1,"
This does promote further discussion although the cultural structure does not seem a matter that the contributor is knowledged about.















",no,4,"This is really insulting, and I don't see any solutions being offered here, rather I see blame."
20144737,source1_20144737_8_0,Enough is enough: Time to address epidemic of violence against native women,http://www.theglobeandmail.com/opinion/put-native-women-on-the-agenda/article20144737/,http://www.sfu.ca/content/dam/sfu/discourse-lab/globe/aboriginal.html,Time for the elders and chiefs to stand up to the plate and take a leadership role!,yes,0.5,1,1,1,1,"This is something that can warrant further discussion


",no,3,
